citation,auteur,
"A moins qu'une belle femme ne soit un ange, son mari est le plus malheureux des hommes.",Jean-Jacques Rousseau,
"A pratiquer plusieurs métiers, on ne réussit dans aucun.",Platon,
"A propos de chaque désir, il faut se poser cette question : quel avantage en résultera-t-il si je ne le satisfais pas ?",épicure,
"À quoi bon fréquenter Platon, quand un saxophone peut aussi bien nous faire entrevoir un autre monde ?",Emil Cioran,
"A quoi que ce soit que l'homme s'applique, la nature l'y destinait.",Denis Diderot,
A tous les hommes échoit de se connaître eux-mêmes et d'avoir l'esprit clair.,Héraclite D'Éphèse,
"A travers tous les trafics, manipulations ou transmutations génétiques de l'espèce, on est arrivé à un point de non-retour où l'on ne peut plus déterminer ce qui est humain ou non humain.",Jean Baudrillard,
"A trop admirer les vertus des autres on peut perdre le sens des siennes propres tant et si bien qu'en ne les exerçant plus, on les oublie complètement sans recevoir pour autant celles des autres en compensation.",Friedrich Nietzsche,
"À vingt ans, je me tordais d'angoisse à multiplier mon âge par deux. Maintenant...",Edgar Morin,
"Abolir le délit, c'est abolir la loi.",Denis Diderot,
Abolissez l'exploitation de l'homme par l'homme et vous abolirez l'exploitation d'une nation par une autre nation.,Friedrich Engels,
"Abordez les tâches aisées comme si elles étaient difficiles, et les malaisées comme si elles étaient faciles.",Baltasar Gracian,
"Aboyer, solliciter au mal, tout cela est dans les moyens du diable ; mais il ne peut mordre que qui veut être mordu.",Saint Augustin D'Hippone,
Académie : réunion de gens habiles et de gens influents.,Paul Valéry,
Accéder à la béatitude : il n'y a pas d'autre raison de philosopher.,Saint Augustin D'Hippone,
Accepte la vérité de quiconque l'a énoncée.,Maïmonide,
"Accepter d'autrui qu'il subvienne à des besoins nombreux et même superflus, et aussi parfaitement que possible, finit par vous réduire à un état de dépendance.",Friedrich Nietzsche,
Accepter d'être soumis à la nécessité et n'agir qu'en la maniant.,Simone Weil,
"Accepter et pardonner, c'est se réconcilier avec soi-même, se donner de l'amour pour être en paix, et retrouver la joie de vivre, l'instant présent.",Lao Tseu,
Accepter le mal qu'on nous fait comme remède à celui que nous avons fait.,Simone Weil,
Accomplis chaque acte de ta vie comme s'il devait être le dernier.,Marc Aurèle,
Accroche ton chariot à une étoile.,Ralph Waldo Emerson,
"Adapte-toi au monde, car ta tête est trop petite pour que le monde s'y adapte.",Georg Christoph Lichtenberg,
"Adieu, dit le mourant au miroir qu'on lui tend, nous ne nous verrons plus.",Paul Valéry,
Adressez-vous plutôt aux passions qu'aux vertus quand vous voudrez persuader une femme.,Marquis De Sade,
"Agis avec gentillesse, mais n'attends pas de la reconnaissance.",Confucius,
Agis comme si la maxime de ton action devait être érigée par ta volonté en loi universelle de la nature.,Emmanuel Kant,
"Agis de telle sorte que tu traites l'humanité, aussi bien dans ta personne que dans la personne de tout autre, toujours en même temps comme une fin jamais simplement comme un moyen.",Emmanuel Kant,
Agissez envers les autres comme vous aimeriez qu'ils agissent envers vous.,Confucius,
"Agiter le thème de l'exception culturelle française, c'est chercher à se réhabiliter comme on sauverait les meubles.",Jean Baudrillard,
"Ah ! dignité, fille de l'orgueil et mère de l'ennui.",Jean-Jacques Rousseau,
Ah ! Il y a tant de choses entre le ciel et la terre que les poètes sont seuls à avoir rêvées.,Friedrich Nietzsche,
Aie en ton âme une place pour l'hôte que tu n'attends pas et un autel pour le dieu inconnu.,Henri-Frédéric Amiel,
Aie la connaissance ou écoute ceux qui l'ont.,Baltasar Gracian,
Aigrivain : homme de lettres.,Alain Finkielkraut,
Aime et fais ce que tu voudras.,Saint Augustin D'Hippone,
"Aime la vérité, mais pardonne l'erreur.",Voltaire,
"Aime, et fais ce que tu veux.",Saint Augustin D'Hippone,
"Aimer à lire, c'est faire un échange des heures d'ennui que l'on doit avoir en sa vie contre des heures délicieuses.",Montesquieu,
Aimer apprendre est proche de la sagesse.,Confucius,
"Aimer est une chose terrible, comme doit être tout ce qui est divin...",Paul Valéry,
"Aimer est, dans son essence, le projet de se faire aimer.",Jean-Paul Sartre,
"Aimer la vie est facile quand vous êtes à l'étranger. Là où personne ne vous connaît, vous tenez votre vie entre vos mains, vous êtes maître de vous-mêmes plus qu'à n'importe quel moment.",Hannah Arendt,
"Aimer un être, c'est tout simplement reconnaître qu'il existe autant que vous.",Simone Weil,
"Aimer, c'est jouir, tandis que ce n'est pas jouir que d'être aimé.",Aristote,
"Aimer, c'est vouloir du bien à quelqu'un.",Aristote,
"Aimer, par tous ses sens, l'éphémère.",Jean-Bertrand Pontalis,
Aimez qui vous aime.,Voltaire,
"Ainsi l'amitié n'appartient qu'à l'homme, et l'attachement peut appartenir aux animaux.",Georges-Louis Leclerc De Buffon,
Ainsi les plus généreux ont coutume d'être les plus humbles.,René Descartes,
"Ainsi nous ne vivons jamais, mais nous espérons de vivre ; et nous disposant toujours à être heureux, il est inévitable que nous ne le soyons jamais.",Blaise Pascal,
"Ainsi nous tenons à tout, nous nous accrochons à tout.",Jean-Jacques Rousseau,
"Ainsi s'écoule toute la vie. On cherche le repos en combattant quelques obstacles ; et si on les a surmontés, le repos devient insupportable.",Blaise Pascal,
"Ainsi, jusque dans notre propre individu, l'individualité nous échappe. Nous vivons dans une zone mitoyenne entre les choses et nous, extérieurement aux choses, extérieurement aussi à nous-mêmes.",Henri Bergson,
"Aliénant et culpabilisant pour les femmes, le mythe de l'instinct maternel se révèle ravageur pour les enfants, et en particulier pour les fils.",Elisabeth Badinter,
Allons chercher nos images dans l'oeuvre de ceux qui ont le plus longuement rêvé et valorisé la matière : adressons-nous aux alchimistes.,Gaston Bachelard,
"Alors que la société se montre généralement sévère à l'égard de l'échec professionnel, elle continue de manifester un certain respect pour le malheur affectif.",Alain De Botton,
Améliorez le présent sans faire la satire du passé.,Francis Bacon (philosophe),
"Ami sincère de l'Amérique, je vois l'esclavage retarder son progrès, ternir sa gloire, fournir des armes à ses détracteurs.",Alexis De Tocqueville,
"Amour chéri, n'oppose pas à ceci la première chose qui te vienne à l'esprit. Songe à qui te le dit... Songe à qui te le murmure.",Paul Valéry,
Amour est avant tout de se consumer à essayer de deviner ce qui se pense dans une autre tête. Rien de plus torturant. Car... Tout se passe dans une tête.,Paul Valéry,
"Amour, amour! Je lève un doigt mouillé qui cherche à tous les vents le bon vent de l'amour.",Paul Valéry,
"Antérieur à l'évolutionnisme biologique, théorie scientifique, l'évolutionnisme social n'est, trop souvent, que le maquillage faussement scientifique d'un vieux problème philosophique dont il n'est nullement certain que l'observation et l'induction puissent un jour fournir la clef.",Claude Lévi-strauss,
"Apparu, disparu, c'est toute l'histoire d'un homme, comme celle d'un monde et celle d'un infusoire.",Henri-Frédéric Amiel,
"Appeler les femmes ""le sexe faible"" est une diffamation ; c'est l'injustice de l'homme envers la femme. Si la non-violence est la loi de l'humanité, l'avenir appartient aux femmes.",Gandhi,
Applique-toi donc à ce que tu peux.,épictète,
Appliquez-vous à garder en toute chose le juste milieu.,Confucius,
Apprendre sans réfléchir est vain. Réfléchir sans apprendre est dangereux.,Confucius,
"Apprendre, c'est vivre dans la hantise de ne jamais atteindre son but et de perdre ce que l'on a déjà gagné.",Confucius,
"Après la mort, il n'y a rien, et la mort elle-même n'est rien.",Sénèque,
Après minuit commence la griserie des vérités pernicieuses.,Emil Cioran,
"Après une bonne querelle, on se sent plus léger et plus généreux qu'avant.",Emil Cioran,
"Argent, machinisme, algèbre ; les trois monstres de la civilisation actuelle.",Simone Weil,
Arrêtez le mal avant qu'il n'existe ; calmez le désordre avant qu'il n'éclate.,Lao Tseu,
"Attaquez le mal qui est en vous, plutôt que d'attaquer le mal qui est en autrui.",Confucius,
"Atteindre son idéal, c'est le dépasser du même coup.",Friedrich Nietzsche,
"Atteindre son idéal, c'est le dépasser même coupé.",Friedrich Nietzsche,
Attendons un peu pour finir plus vite.,Francis Bacon (philosophe),
Attrapez un poisson à un homme et vous pourrez le lui vendre. Apprenez à un homme à pêcher et vous gâchez une formidable opportunité commerciale.,Karl Marx,
"Attribuer une haute valeur à l'opinion des hommes, c'est leur faire trop d'honneur.",Arthur Schopenhauer,
"Au centre de votre être, vous avez la réponse ; vous savez qui vous êtes et vous savez ce que vous voulez.",Lao Tseu,
"Au ciel tout est plaisir, en enfer tout est peine ; le monde est mitoyen à l'un et à l'autre.",Baltasar Gracian,
"Au fond c'est ça, la littérature, atteindre l'universel par le particulier.",Jean D'Ormesson,
Au fond ceux qui se croient laborieux ne sont peut-être que des paresseux qui s'ignorent.,François Hertel,
"Au fond du coeur, l'homme n'est que méchant ; mais au fond du coeur, la femme est mauvaise.",Friedrich Nietzsche,
"Au fond, il n'y a qu'un seul chrétien, et il est mort sur la croix.",Friedrich Nietzsche,
"Au fond, les arts sont des ascèses et ne valent que par l'infini qu'on y met.",Paul Valéry,
"Au lieu d'instinct, ne vaudrait-il pas mieux parler d'une fabuleuse pression sociale pour que la femme ne puisse s'accomplir que dans la maternité ?",Elisabeth Badinter,
"Au lieu de faire que ce qui fut juste fut fort, on a fait que ce qui fut fort fut juste.",Blaise Pascal,
"Au malade, le miel est amer.",Sénèque,
"Au métier qu'il connaît, que chacun se consacre.",Cicéron,
"Au reste, il n'y a aucun vice qui nuise tant à la félicité des hommes que l'envie.",René Descartes,
"Au rugby (...) tout le monde regarde l'équipe, personne ne regarde le ballon. Or l'important, c'est le ballon, c'est lui qui fait l'équipe.",Michel Serres,
"Au zoo. Toutes ces bêtes ont une tenue décente, hormis les singes. On sent que l'homme n'est pas loin.",Emil Cioran,
"Au-delà de toi est la source du bien, une source qui peut toujours jaillir, si tu creuses toujours.",Marc Aurèle,
Aucun événement ne revient.,Bertrand Russell,
"Aucun héritage n'est beau Mais n'est-ce pas survivre un peu ? Non, c'est mourir davantage.",François Hertel,
Aucun homme n'a reçu de la nature le droit de commander aux autres.,Denis Diderot,
Aucun homme n'est libre s'il ne sait pas se contrôler.,Pythagore,
Aucun pays ne s'est jamais élevé sans s'être purifié au feu de la souffrance.,Gandhi,
Aucun sentiment n'ôte à l'esprit son pouvoir d'action et de raisonnement autant que la peur.,Edmund Burke,
Aucune action naturelle ne peut être abrégée.,Léonard De Vinci,
"Aucune chose n'est, où manque le mot.",Martin Heidegger,
"Aucune investigation humaine ne peut s'intituler véritable science, si elle ne passe par la démonstration mathématique.",Léonard De Vinci,
Aucune matière ne peut être intelligible sans ombre et lumière. Ombre et lumière sont issues de la lumière.,Léonard De Vinci,
Aucune nation n'aime à considérer ses malheurs comme ses enfants légitimes.,Paul Valéry,
"Aucune philosophie, aucune analyse, aucun aphorisme, aussi profonds qu'ils soient ne peuvent se comparer en intensité, en plénitude de sens, avec une histoire bien racontée.",Hannah Arendt,
"Aucune société ne peut prospérer et être heureuse, dans laquelle la plus grande partie des membres est pauvre et misérable.",Adam Smith,
"Aujourd'hui nous recevons trois éducations différentes ou contraires : celles de nos pères, celles de nos maîtres, celle du monde. Ce qu'on nous dit dans la dernière renverse toutes les idées des premières.",Montesquieu,
"Aujourd'hui, j'ai permis au soleil de se lever plus tôt que moi.",Georg Christoph Lichtenberg,
"Aujourd'hui, les laïcs sont minoritaires au sein de l'intelligentsia.",Elisabeth Badinter,
"Aujourd'hui, nous avons les mêmes smartphones, la même physique, les mêmes sciences partout dans le monde. Et il n'y a ni liberté, ni bonheur, ni justice dans de vastes parties du globe. Ces illusions se sont écroulées, nous faisant entrer dans une époque post-utopique.",Agnes Heller,
"Aujourd'hui, on prend un parapluie parce que la télé a dit qu'il allait pleuvoir. Autrefois, on aurait regardé le ciel.",Michel Serres,
"Aujourd'hui, sur demain tu ne peux avoir prise.",Omar Khayyam,
Aussi est-il nécessaire au Prince qui se veut conserver qu'il apprenne à pouvoir n'être pas bon...,Machiavel,
"Aussi infailliblement que le chat se met à ronronner quand on lui caresse le dos, aussi sûrement on voit une douce extase se peindre sur la figure de l'homme qu'on loue.",Arthur Schopenhauer,
"Aussi longtemps que les hommes vivent sans un pouvoir commun qui les tient en respect, ils sont dans cette condition qui se nomme guerre, la guerre de chacun contre chacun.",Thomas Hobbes,
"Aussi ne puis-je m'empêcher de craindre chaque fois que j'ouvre la bouche, d'être engagé dans une opération infinie.",Brice Parain,
"Aussi sûr, aussi dévoué qu'il puisse être, un compagnon d'humeur inquiète et qui geint à tout propos est l'ennemi de notre tranquillité.",Sénèque,
"Aussitôt qu'on nous montre quelque chose d'ancien dans une innovation, nous sommes apaisés.",Friedrich Nietzsche,
"Aussitôt que le mal paraît léger, il cesse de l'être.",Francis Bacon (philosophe),
"Autant l'amour est aimable dans le coeur des jeunes gens, autant il est inconvenant dans celui qui a passé la fleur de l'âge.",Machiavel,
"Auto-éthique : résister à récriminations, reproches, ressentiment, apitoiement sur soi.",Edgar Morin,
"Autorisation de se tuer, seulement au parfaitement heureux.",Paul Valéry,
Autrefois on cherchait des armées pour les mener combattre dans un pays. A présent on cherche des pays pour y mener combattre des armées.,Montesquieu,
"Autrefois, les écrivains dénués de métier voulaient passer pour en avoir ; aujourd'hui ceux qui en sont farcis veulent nous faire croire qu'ils ne savent même pas ce que c'est. Tel est le progrès.",Julien Benda,
"Autrui, c'est l'autre, c'est-à-dire le moi qui n'est pas moi.",Jean-Paul Sartre,
"Avant d'écrire sur les volatiles, fais un livre des choses insensibles qui descendent dans l'air sans le vent (autrement dit les lois de la pesanteur et de la chute des corps) et un autre de celles qui descendent avec le vent (autrement dit les lois de la résistance de l'air et de l'aérodynamique).",Léonard De Vinci,
"Avant d'être effectivement mort (et dans ce cas, la chose devient impossible), il est difficile de considérer qui que ce soit comme le grand amour de sa vie.",Alain De Botton,
"Avant de blâmer, il faudrait toujours chercher à voir si l'on ne peut d'abord excuser.",Georg Christoph Lichtenberg,
"Avant de donner un conseil, il faut l'avoir fait accepter, ou mieux, l'avoir fait désirer.",Henri-Frédéric Amiel,
"Avant de penser, il faut étudier. Seuls les philosophes pensent avant d'étudier.",Gaston Bachelard,
"Avant de vous lancer dans un voyage de vengeance, creusez deux tombes.",Confucius,
"Avant notre venue, rien ne manquait au monde. Après notre départ, rien ne lui manquera.",Omar Khayyam,
"Avant que tu ne parles, on doit pouvoir lire sur ton visage ce que tu vas dire.",Marc Aurèle,
"Avec du mouvement et de la matière, je ferai le monde.",René Descartes,
"Avec la civilisation, on passe du problème de l'homme des cavernes au problème des cavernes de l'homme.",Edgar Morin,
"Avec la télévision, il n'y a plus qu'un flux permanent, un ruissellement ininterrompu, tout coule et rien ne reste. L'oeil ne contemple plus, il avale.",Alain Finkielkraut,
"Avec les êtres vivants, il semble que la nature s'essaie à la facticité. La vie distille et filtre.",Gaston Bachelard,
"Avec les femmes, c'est toujours la même chose ; d'abord au bras, puis dans les bras, puis sur les bras. Avec elles, on va à chaque fois des petits mots aux grands mots et enfin, aux gros mots.",Paul Valéry,
"Avec quelque ardeur que les hommes poursuivent la victoire, ils aiment toujours à l'acheter.",Georges-Louis Leclerc De Buffon,
"Avec une voix forte dans la gorge, on est presque incapable de penser des choses subtiles.",Friedrich Nietzsche,
"Avoir assez d'empire sur soi-même pour juger des autres par comparaison avec nous, et agir envers eux, comme nous voudrions que l'on agît envers nous-mêmes, c'est ce qu'on peut appeler la doctrine de l'humanité ; il n'y a rien au-delà.",Confucius,
"Avoir beaucoup d'amis, c'est n'avoir point d'ami.",Aristote,
"Avoir beaucoup d'amis, c'est n'avoir point d'amis.",Aristote,
"Avoir commis tous les crimes, hormis celui d'être père.",Emil Cioran,
Avoir de l'autorité sur autrui n'est rien d'autre que d'exploiter son travail.,Leon Battista Alberti,
"Avoir des esclaves n'est rien ; ce qui est intolérable, c'est d'avoir des esclaves en les appelant citoyens.",Denis Diderot,
"Avoir du temps, c'est posséder le bien le plus précieux pour celui qui aspire à de grandes choses.",Plutarque,
"Avoir honte de son immoralité, c'est un premier degré de l'échelle ; arrivé en haut, on aura honte aussi de sa propre moralité.",Friedrich Nietzsche,
"Avoir l'esprit clair : la plus haute vertu. Et l'art de vivre : dire vrai et faire d'après nature, en connaisseur.",Héraclite D'Éphèse,
"Avoir la foi, c'est faire crédit à Dieu.",Gustave Thibon,
"Avoir pitié de son ennemi, c'est être sans pitié pour soi-même.",Francis Bacon (philosophe),
Avoir un but trace la voie.,Lao Tseu,
Ayez de la haine pour le péché et de l'amour pour le pécheur.,Gandhi,
Ayez le courage d'utiliser votre propre raison - c'est la devise de l'illumination.,Emmanuel Kant,
"Ayez pour devise : ""amour, humanité et service du prochain.",,
"Ayez pour devise : ""amour, humanité et service du prochain.",,
Ayez surtout le souci de séparer les choses du bruit qu'elles font.,Sénèque,
Ayez toujours quelque chose à désirer ; sinon votre bonheur vous rendra malheureux.,Baltasar Gracian,
Ayez une femme qui ne croit pas à ce qu'elle voit.,Paul Valéry,
Babarbiturique : tranquillisant assez fort pour endormir un éléphant.,Alain Finkielkraut,
"Baisers, baves d'amour, basses béatitudes, ô mouvements marins des amants confondus.",Paul Valéry,
Beaucoup de biens ne se produiraient pas s'il n'y avait pas de mal dans les êtres.,Thomas D'Aquin,
"Beaucoup de brèves folies, c'est là ce que vous appelez l'amour. Et votre mariage met fin à beaucoup de brèves folies par une longue sottise.",Friedrich Nietzsche,
Beaucoup de choses que nous considérions comme des lois naturelles sont en réalité des conventions purement humaines.,Bertrand Russell,
"Beaucoup de réflexion et non beaucoup de connaissances, voilà à quoi il faut tendre.",Démocrite D'Abdère,
"Beaucoup de souvenirs, ou le souvenir de nombreuses choses, c'est ce qu'on nomme expérience.",Thomas Hobbes,
Beaucoup seraient sages s'ils ne croyaient pas l'être.,Baltasar Gracian,
Beaucoup trop d'hommes viennent au monde : l'Etat a été inventé pour ceux qui sont superflus.,Friedrich Nietzsche,
Bébétude : torpeur du nourrisson après la tétée.,Alain Finkielkraut,
Bidingue : qui délire en deux langues.,Alain Finkielkraut,
Bien crédule est celui qui ne ment jamais.,Baltasar Gracian,
Bien des erreurs sont nées d'une vérité dont on abuse.,Voltaire,
Bien des gens qui paraissaient être nos amis ne le sont pas en réalité ; le contraire est vrai aussi.,Démocrite D'Abdère,
Bien des gens seraient capables de tuer un hommes pour prendre la graisse du mort et en frotter leurs bottes.,Arthur Schopenhauer,
Bien des livres auraient été plus clairs s'ils n'avaient pas voulu être si clairs.,Emmanuel Kant,
"Bien écrire, c'est tout à la fois bien penser, bien sentir et bien rendre ; c'est avoir en même temps de l'esprit, de l'âme et du goût.",Georges-Louis Leclerc De Buffon,
"Bien plus que le temps, c'est le sommeil qui est l'antidote du chagrin.",Emil Cioran,
Bien sûr qu'il faut rêver de toutes les femmes. Il n'en est aucune qui ne serait blessée qu'un homme ne rêve de toutes à travers elle.,Jean Baudrillard,
"Bien sûr, nous sommes résolument cosmopolites. Bien sûr, tout ce qui est terroir, béret, bourrées, binious, bref, « franchouillard » ou cocardier, nous est étranger, voire odieux.",Bernard-Henri Lévy,
"Bien sûr, vous voulez être riche et célèbre. C'est naturel. La richesse et la renommée sont ce que tout homme désire. La question est : qu'êtes-vous prêt à échanger contre cela ?",Confucius,
Bien vieillir : gagner en transparence ce qu'on perd en couleur.,Gustave Thibon,
Blâme ton ami en secret ; vante-le devant les autres.,Léonard De Vinci,
Boire du vin et étreindre la beauté Vaut mieux que l'hypocrisie du dévot.,Omar Khayyam,
"Bois du vin, puisque tu ignores d'où tu es venu ; vis joyeux, puisque tu ignores où tu iras.",Omar Khayyam,
Bois du vin... C'est lui la vie éternelle.,Omar Khayyam,
"C'est à celui qui domine sur les esprits par la force de la vérité, non à ceux qui font les esclaves par la violence, que nous devons nos respects.",Voltaire,
"C'est à coup d'excitants (café, tabac) que j'ai écrit tous mes livres. A quoi tient l'activité de l'esprit !",Emil Cioran,
"C'est à tort que les hommes se plaignent de la fuite du temps, en l'accusant d'être trop rapide, sans voir qu'il s'écoule à la bonne vitesse.",Léonard De Vinci,
"C'est à un instinct mécanique, qui est chez la plupart des hommes, que nous devons tous les arts, et nullement à la saine philosophie.",Voltaire,
"C'est ainsi, que périra le monde : dans la joie générale des gens spirituels qui croiront à une farce.",Soren Kierkegaard,
C'est assez facile d'être amical avec des amis. Mais créer une amitié avec celui qui se considère comme votre ennemi est la quintessence de la vraie religion.,Gandhi,
C'est assurément ne pas connaître le coeur humain que de penser qu'on peut le remuer par des fictions.,Voltaire,
C'est aussi le même de converser avec ceux des autres siècles que de voyager.,René Descartes,
"C'est aux esclaves, non aux hommes libres, que l'on fait un cadeau pour les récompenser de s'être bien conduits.",Baruch Spinoza,
C'est avec l'idée des droits que les hommes ont défini ce qu'étaient la licence et la tyrannie.,Alexis De Tocqueville,
C'est bien la pire folie que de vouloir être sage dans un monde de fous.,Érasme,
"C'est bien un signe de l'astuce des femmes qu'elles aient su presque partout sa faire entretenir, comme des frelons dans la ruche.",Friedrich Nietzsche,
"C'est bon écrire. On regarde filer sa main, qui trace de curieuses arabesques ; et la pensée précède ou accompagne la grimace de l'encre qui s'écoule et des signes qui s'inscrivent.",François Hertel,
"C'est ça qui me fait peur dans le bonheur : l'usure, la lassitude, l'effilochage.",Jean D'Ormesson,
C'est ce que je porte d'inconnu à moi-même qui me fait moi.,Paul Valéry,
C'est ce qui manque qui donne la raison d'être.,Lao Tseu,
"C'est d'âme qu'il faut changer, non de climat.",Sénèque,
"C'est d'ordinaire une besogne épineuse : on néglige ce qui précède et ce qui suit l'endroit qu'on cite, et on s'expose à mille querelles.",Voltaire,
C'est dans l'adversité que se révèlent les vrais amis.,Cicéron,
C'est dans l'effort que l'on trouve la satisfaction et non dans la réussite. Un plein effort est une pleine victoire.,Gandhi,
C'est dans la pratique qu'il faut que l'homme prouve la vérité.,Karl Marx,
C'est dans le silence des lois que naissent les grandes actions.,Marquis De Sade,
C'est dans le vide de la pensée que s'inscrit le mal.,Hannah Arendt,
C'est de nos vertus que nous sommes le mieux punis.,Friedrich Nietzsche,
"C'est de par leur caractère que les hommes sont ce qu'ils sont, mais c'est de par leurs actions qu'ils sont heureux, ou le contraire.",Aristote,
"C'est effrayant de songer que tu es fée, et que tu fais que quand tu n'es pas là, tu es énormément plus là que quand tu es là.",Paul Valéry,
C'est en copiant qu'on invente.,Paul Valéry,
C'est en plein tintamarre qu'il faut prêter l'oreille au chuchotement imperceptible de Dieu.,Vladimir Jankélévitch,
C'est en un sens à force d'étudier l'homme que nous nous sommes mis hors d'état de le connaître.,Jean-Jacques Rousseau,
C'est en vue des premières fins qu'on poursuit les autres.,Aristote,
C'est encore peu de vaincre il faut savoir séduire.,Voltaire,
C'est être malheureux que de vouloir et ne pouvoir.,Blaise Pascal,
"C'est faire en homme sage de ne parler jamais en superlatifs, car cette manière de parler blesse toujours, ou la vérité, ou la prudence.",Baltasar Gracian,
"C'est fini, l'époque où je croyais aux bateleurs de la politique politicienne.",Michel Onfray,
C'est grâce à une bonne éducation que surgit tout le bien du monde.,Emmanuel Kant,
"C'est justement pour préserver ce qui est neuf et révolutionnaire dans chaque enfant que l'éducation doit être conservatrice, c'est-à-dire assurer ""la continuité du monde"".",Hannah Arendt,
C'est l'abus de nos facultés qui nous rend malheureux et méchants.,Jean-Jacques Rousseau,
C'est l'affluence des hôtes qui détruit l'hospitalité.,Jean-Jacques Rousseau,
C'est l'amour de nous-mêmes qui assiste l'amour des autres ; c'est par nos besoins mutuels que nous sommes utiles au genre humain.,Voltaire,
C'est l'extrême sensibilité qui fait les médiocres acteurs ; c'est la sensibilité médiocre qui fait la multitude des mauvais acteurs ; et c'est le manque absolu de sensibilité qui prépare les acteurs sublimes.,Denis Diderot,
C'est l'idée du despotisme qui nous donne l'idée de la démocratie.,André Glucksmann,
"C'est l'imagination qui étend pour nous la mesure des possibles, et nourrit les désirs par l'espoir de les satisfaire.",Jean-Jacques Rousseau,
C'est l'oeil du maître qui fait engraisser le cheval.,Plutarque,
"C'est la capitale qui, surtout, fait les moeurs des peuples ; c'est Paris qui fait les Français.",Montesquieu,
C'est la compagnie des autres femmes qui pousse beaucoup de femmes à se marier.,Alain De Botton,
C'est la concurrence qui met un prix juste aux marchandises et qui établit les vrais rapports entre elles.,Montesquieu,
C'est la conscience humaine du Beau qui différencie le Beau du Laid.,Lao Tseu,
